Symbol,Company_name,Face_value,Close ,Change_%,Open,High,Low,Avg_price,Volume,Turnover,No_of_trades,52_High,52_Min,Date
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.602,0.99,18.638,18.638,18.52,18.5826,16887,313804.51,226,18.876,15.86,2023-03-22
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.1,-0.39,5.15,5.15,5.1,5.1329,3908,20059.484,43,5.327,4.903,2023-03-22
STK,STK EMERGENT,200,68.0,3.03,68.0,68.0,68.0,68.0,1,68.0,1,74.0,57.5,2023-03-22
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.56,1.18,18.7,18.85,18.536,18.6291,19340,360287.656,322,18.876,15.86,2023-03-23
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.175,1.47,5.125,5.175,5.12,5.1386,4353,22368.425,32,5.327,4.903,2023-03-23
STK,STK EMERGENT,200,66.0,-2.94,66.0,66.0,66.0,66.0,20,1320.0,1,74.0,57.5,2023-03-23
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.474,0.01,18.64,18.85,18.4,18.5038,22226,411267.094,267,18.876,15.86,2023-03-24
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.16,0.33,5.17,5.17,5.15,5.1592,2103,10850.005,32,5.327,4.903,2023-03-24
STK,STK EMERGENT,200,65.5,-0.76,65.5,65.5,65.5,65.5,130,8515.0,2,74.0,57.5,2023-03-24
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.38,0.37,18.55,18.65,18.38,18.4319,17970,331222.424,232,18.876,15.86,2023-03-25
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.13,-0.19,5.17,5.17,5.12,5.1436,3715,19108.699,40,5.327,4.903,2023-03-25
STK,STK EMERGENT,200,67.5,3.05,67.5,67.5,67.5,67.5,1,67.5,1,74.0,57.5,2023-03-25
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.542,1.99,18.366,18.542,18.31,18.3506,16738,307152.428,242,18.876,15.86,2023-03-26
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.086,-0.86,5.1,5.1,5.05,5.0928,10478,53363.404,64,5.327,4.903,2023-03-26
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.32,0.04,18.452,18.46,18.29,18.3719,14938,274440.432,273,18.876,15.86,2023-03-27
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.04,0.58,5.056,5.065,5.04,5.0522,4607,23275.894,29,5.327,4.903,2023-03-27
BTF,FONDUL INCHIS DE INVESTITII BET FI INDEX INVEST,200,610.0,0.0,610.0,610.0,610.0,610.0,2,1220.0,1,610.0,600.0,2023-03-27
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.34,0.35,18.37,18.47,18.34,18.4089,8069,148541.494,171,18.876,15.86,2023-03-28
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.0,-0.79,5.04,5.044,5.0,5.0259,1367,6870.524,19,5.327,4.903,2023-03-28
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.47,0.94,18.45,18.47,18.44,18.4578,8395,154953.512,151,18.876,15.86,2023-03-29
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.07,1.4,5.04,5.075,4.9915,5.0121,11630,58291.577,53,5.327,4.903,2023-03-29
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.55,1.54,18.5,18.55,18.4,18.466,15455,285392.844,289,18.876,15.86,2023-03-30
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.07,0.0,5.07,5.095,5.07,5.0779,2610,13253.435,29,5.327,4.903,2023-03-30
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.55,1.36,18.56,18.588,18.48,18.5295,9418,174511.254,174,18.876,15.86,2023-03-31
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.11,0.79,5.153,5.153,5.1,5.1174,1493,7640.38,25,5.327,4.903,2023-03-31
STK,STK EMERGENT,200,63.0,-6.67,63.0,63.0,63.0,63.0,207,13041.0,3,74.0,59.0,2023-03-31
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.55,0.69,18.664,18.668,18.36,18.5583,9031,167600.436,150,18.876,15.86,2023-04-01
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.125,0.29,5.11,5.125,5.11,5.1194,827,4233.752,20,5.327,4.903,2023-04-01
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.784,1.43,18.68,18.784,18.68,18.7542,11199,210029.38,147,18.876,15.86,2023-04-02
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.128,0.06,5.125,5.13,5.125,5.1277,2951,15132.133,37,5.327,4.903,2023-04-02
