info,value_mil_ron,value_mil_usd,value_mil_eur,volume,trades,date
Total trading equites Shares,13887216.15,3071713.37,2816022.74,9983440,3164,2023-03-13
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-03-13
Total trading Bonds,935931.37,207018.66,189786.35,9452,172,2023-03-13
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-03-13
Total trading Units,286387.39,63346.03,58073.08,23602,297,2023-03-13
Total trading Structured,872325.28,192949.63,176888.43,287378,176,2023-03-13
Total trading Futures,0.0,0.0,0.0,0,0,2023-03-13
Total trading,15981860.19,3535027.68,3240770.59,10303872,3809,2023-03-13
Market Cap,209063.43,46229.45,42373.71,0,0,2023-03-14
Cap Excluding SIF and FP,191056.44,42247.63,38723.99,0,0,2023-03-14
Cap SIF and FP,18006.99,3981.82,3649.72,0,0,2023-03-14
Total trading equites Shares,26449779.8,5848745.06,5360934.73,18589332,4047,2023-03-14
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-03-14
Total trading Bonds,3051421557.6,674749918.76,618472892.62,11898766,18149,2023-03-14
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-03-14
Total trading Units,259005.66,57272.99,52496.18,15675,268,2023-03-14
Total trading Structured,1023568.79,226338.1,207460.53,414235,339,2023-03-14
Total trading Futures,0.0,0.0,0.0,0,0,2023-03-14
Total trading,3079153911.84,680882274.91,624093784.06,30918008,22803,2023-03-14
Market Cap,209041.45,46252.2,42332.36,0,0,2023-03-15
Cap Excluding SIF and FP,191030.48,42267.12,38685.02,0,0,2023-03-15
Cap SIF and FP,18010.97,3985.08,3647.35,0,0,2023-03-15
Total trading equites Shares,12874525.82,2848598.51,2607182.07,12216247,3412,2023-03-15
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-03-15
Total trading Bonds,1279913.81,283191.83,259191.55,5691,130,2023-03-15
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-03-15
Total trading Units,227625.51,50364.08,46095.77,14802,239,2023-03-15
Total trading Structured,2478912.34,548480.47,501997.19,609959,525,2023-03-15
Total trading Futures,0.0,0.0,0.0,0,0,2023-03-15
Total trading,16860977.48,3730634.89,3414466.58,12846699,4306,2023-03-15
Market Cap,211670.72,46886.86,42909.13,0,0,2023-03-16
Cap Excluding SIF and FP,193706.46,42907.62,39267.48,0,0,2023-03-16
Cap SIF and FP,17964.26,3979.24,3641.65,0,0,2023-03-16
Total trading equites Shares,19788704.91,4383365.8,4011495.01,14147145,3745,2023-03-16
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-03-16
Total trading Bonds,4210750.8,932716.98,853588.24,13653,176,2023-03-16
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-03-16
Total trading Units,249812.34,55335.55,50641.06,16527,232,2023-03-16
Total trading Structured,2463540.66,545695.13,499400.09,455836,368,2023-03-16
Total trading Futures,0.0,0.0,0.0,0,0,2023-03-16
Total trading,26712808.71,5917113.45,5415124.4,14633161,4521,2023-03-16
Market Cap,211350.19,47002.22,42865.87,0,0,2023-03-17
Cap Excluding SIF and FP,193350.51,42999.27,39215.19,0,0,2023-03-17
Cap SIF and FP,17999.68,4002.95,3650.68,0,0,2023-03-17
Total trading equites Shares,33195073.34,7382260.67,6732597.77,20191180,3935,2023-03-17
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-03-17
Total trading Bonds,3904411.54,868303.06,791889.57,12178,151,2023-03-17
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-03-17
Total trading Units,319570.13,71069.28,64814.95,19503,251,2023-03-17
Total trading Structured,3083951.44,685840.73,625484.52,512392,363,2023-03-17
Total trading Futures,0.0,0.0,0.0,0,0,2023-03-17
Total trading,40503006.45,9007473.74,8214786.82,20735253,4700,2023-03-17
Market Cap,211785.61,46967.45,42870.71,0,0,2023-03-18
Cap Excluding SIF and FP,193828.1,42985.03,39235.66,0,0,2023-03-18
Cap SIF and FP,17957.51,3982.42,3635.05,0,0,2023-03-18
Total trading equites Shares,21139721.16,4688131.19,4279209.15,9635446,3322,2023-03-18
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-03-18
Total trading Bonds,556209611.5,123349953.76,112590759.6,62926,138,2023-03-18
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-03-18
Total trading Units,172912.42,38346.58,35001.8,11567,207,2023-03-18
Total trading Structured,1920719.92,425955.8,388801.83,492044,307,2023-03-18
Total trading Futures,0.0,0.0,0.0,0,0,2023-03-18
Total trading,579442964.99,128502387.33,117293772.38,10201983,3974,2023-03-18
Market Cap,212522.05,47489.9,43114.04,0,0,2023-03-19
Cap Excluding SIF and FP,194532.91,43470.07,39464.61,0,0,2023-03-19
Cap SIF and FP,17989.14,4019.83,3649.43,0,0,2023-03-19
Total trading equites Shares,14156557.62,3163405.87,2871920.48,14985008,3058,2023-03-19
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-03-19
Total trading Bonds,1356881.34,303206.93,275268.56,5592,132,2023-03-19
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-03-19
Total trading Units,176638.58,39471.43,35834.41,12990,184,2023-03-19
Total trading Structured,935686.51,209087.28,189821.37,224791,204,2023-03-19
Total trading Futures,0.0,0.0,0.0,0,0,2023-03-19
Total trading,16625764.04,3715171.51,3372844.83,15228381,3578,2023-03-19
Market Cap,210489.2,47044.05,42608.29,0,0,2023-03-20
Cap Excluding SIF and FP,192481.77,43019.42,38963.13,0,0,2023-03-20
Cap SIF and FP,18007.43,4024.64,3645.15,0,0,2023-03-20
Total trading equites Shares,30934129.61,6913736.14,6261842.8,18333957,4115,2023-03-20
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-03-20
Total trading Bonds,1259483.01,281492.75,254950.91,3964,114,2023-03-20
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-03-20
Total trading Units,164785.12,36829.25,33356.64,10982,195,2023-03-20
Total trading Structured,5341849.83,1193896.21,1081324.23,976612,531,2023-03-20
Total trading Futures,0.0,0.0,0.0,0,0,2023-03-20
Total trading,37700247.57,8425954.35,7631474.57,19325515,4955,2023-03-20
Market Cap,210387.38,46967.76,42554.94,0,0,2023-03-21
Cap Excluding SIF and FP,192385.22,42948.88,38913.65,0,0,2023-03-21
Cap SIF and FP,18002.16,4018.88,3641.29,0,0,2023-03-21
Total trading equites Shares,23364304.01,5215944.99,4725885.23,14230543,4243,2023-03-21
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-03-21
Total trading Bonds,555800.14,124079.15,112421.39,2829,85,2023-03-21
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-03-21
Total trading Units,208639.37,46577.53,42201.37,13209,222,2023-03-21
Total trading Structured,2580671.26,576119.85,521990.99,515415,368,2023-03-21
Total trading Futures,0.0,0.0,0.0,0,0,2023-03-21
Total trading,26709414.78,5962721.51,5402498.99,14761996,4918,2023-03-21
Market Cap,211065.41,46992.19,42766.48,0,0,2023-03-22
Cap Excluding SIF and FP,193136.44,43000.43,39133.68,0,0,2023-03-22
Cap SIF and FP,17928.97,3991.76,3632.8,0,0,2023-03-22
Total trading equites Shares,19386419.47,4316246.12,3928113.68,8918510,3941,2023-03-22
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-03-22
Total trading Bonds,1226381.01,273044.86,248491.68,7194,134,2023-03-22
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-03-22
Total trading Units,399866.99,89027.49,81021.82,21795,274,2023-03-22
Total trading Structured,3617553.19,805422.06,732995.6,619156,495,2023-03-22
Total trading Futures,0.0,0.0,0.0,0,0,2023-03-22
Total trading,24630220.66,5483740.54,4990622.78,9566655,4844,2023-03-22
Market Cap,210394.01,46765.66,42684.93,0,0,2023-03-23
Cap Excluding SIF and FP,192446.57,42776.36,39043.73,0,0,2023-03-23
Cap SIF and FP,17947.44,3989.3,3641.19,0,0,2023-03-23
